표준코드,제품코드,제품명,규격,단위,상한금액,업체명,주성분코드,주성분명,투여,분류
8806507005119,650700510,카소덱스정(비칼루타마이드)_(50mg/1정),1,정,4115,한국아스트라제네카(주),117201ATB,bicalutamide   50mg,내복,421
8806507005225,650700520,크레스토정10밀리그램(로수바스타틴칼슘)_(10.4mg/1정),1,정,603,한국아스트라제네카(주),454001ATB,rosuvastatin calcium (as rosuvastatin   10mg),내복,218
8806507005324,650700530,크레스토정20밀리그램(로수바스타틴칼슘)_(20.8mg/1정),1,정,677,한국아스트라제네카(주),454002ATB,rosuvastatin calcium (as rosuvastatin   20mg),내복,218
8806507005423,650700540,크레스토정5밀리그램(로수바스타틴칼슘)_(5.2mg/1정),1,정,339,한국아스트라제네카(주),454003ATB,rosuvastatin calcium (as rosuvastatin   5mg),내복,218
8806507005522,650700552,파슬로덱스주(풀베스트란트)_(0.5g/1팩(5mL*2관)),1,팩(5mL*2관),376724,한국아스트라제네카(주),568931BIJ,fulvestrant   0.5g(50mg/mL),주사,421
8806507005744,650700571,풀미코트레스퓰분무용현탁액0.5mg/2ml(부데소니드(미분화))_(0.5mg/2mL),2,mL/병,1380,한국아스트라제네카(주),119533CSI,budesonide(micronized)   0.5mg(0.25mg/mL),외용,222
8806507006116,650700611,풀미코트터부헬러200㎍/dose(부데소니드(미분화))_(20mg/100회),100,회/통,11883,한국아스트라제네카(주),119530CSI,budesonide(micronized)   20mg(0.2mg/회),외용,222
8806507007915,650700790,브릴린타정90밀리그램(티카그렐러)_(90mg/1정),1,정,606,한국아스트라제네카(주),615901ATB,ticagrelor   90mg,내복,218
8806507008813,650700880,온글라이자정5밀리그램(삭사글립틴수화물)_(5.29mg/1정),1,정,826,한국아스트라제네카(주),613302ATB,saxagliptin hydrate (as saxagliptin   5mg),내복,396
8806507008912,650700890,온글라이자정2.5밀리그램(삭사글립틴수화물)_(2.64mg/1정),1,정,570,한국아스트라제네카(주),613301ATB,saxagliptin hydrate (as saxagliptin   2.5mg),내복,396
8806507009018,650700900,콤비글라이즈서방정5/500밀리그램_(1정),1,정,827,한국아스트라제네카(주),518500ATR,metformin hydrochloride   0.5g,내복,396
8806507009117,650700910,콤비글라이즈서방정5/1000밀리그램_(1정),1,정,827,한국아스트라제네카(주),518600ATR,metformin hydrochloride   1g,내복,396
